id,preco
13518783164498355150900635905895481162,70065.234
299896161723793383246777788797566040330,71102.82
316180649972302128246133616457018378621,240768.84
222527157104148385909188217274642813298,112736.36
160460343059850745858546502614838368036,99893.234
262727202368986244371977784343233436999,62528.016
254093764205800086330999281077926851120,127310.47
26118184613036116787803832945215674478,220702.2
216524630140335566712794225427064313,225804.27
185631381169816366226494379020452029389,221829.4
193325654448132563278364141820152041311,126582.5
238917637717691361625086479663492481749,66418.445
55430829679256880238551444522175018156,119933.87
215317645068876070368783807654911699750,202200.67
81597227204971961501733390453078413740,182106.42
144896666825908872755051834814298387194,76974.95
184599608599423525451999366981389806783,205183.52
332523842755767369964829329030378044388,119285.91
115343777354602647202140618045743635008,159560.6
20757170217235469489036110086071917277,99991.21
185526399598537813925895625787601650168,116513.33
60658042813489826886245400795986219027,97139.52
252469656136469704862465423825396909961,239273.25
144289133420257677937750963126363910239,50735.965
286704706212186527658783613441315754259,129795.66
104788498292328609834480593297039083847,86018.01
83091551517048057678460117003997132666,218523.52
253819240599250454081144283787356606601,78217.53
47552100267769170589122325402191982347,123221.13
143932540867090135955180920741784357244,167767.12
196345985565471044954698780677909306202,223943.38
244792708737468723430839923035345593106,61871.28
84589940414664494482357035061818012137,86394.2
272199586960887794853261858460695880945,194082.75
49959439507026713714422386346459644032,78811.664
281026519311657672970881937258693325762,77352.89
93074564150014753673961081882123830374,195501.9
26728401390792884431172378844166640182,347270.84
188211565885838356078706489204052877949,108184.02
72487946181948797581370306862646034491,128191.08
228864048115975611203958077134700148633,138695.22
112454259487642510247400972640243226784,114222.54
222663295482952330188872827964862490542,53290.027
174300102534868734265445704595501072047,101351.07
65616068149477861830943576277231644996,151214.5
12512429268260634755522419284910697215,175651.25
336344009530167442733355949279054127993,65289.15
79522286518792634854353998912967788405,75692.14
82689802293775881487902613650793199776,124822.84
145087209205382180995284342956932775590,80761.31
148379644220249469735831915363404593938,86100.54
81783415914068556337040372580510327746,114800.15
17392005129747944984443660408573750669,95724.08
221003909581330971303914733428302885356,181403.7
32270994133870633595828638411924379558,123400.87
44743423162474884539743903954385097896,165122.3
256739781367016694034266877805520625472,226110.53
102069821313289958956134954896763391138,145445.83
295239204594155572903470420706758961711,86789.375
217043924033496343963491521400562422856,112922.55
230630223901851276472648163541398202700,93117.93
228794583325189840821498523768389390979,71420.21
226883211751919793077312253417502568887,119285.77
178727794896076301413017290746899811351,62458.85
233324434070255280697734700180958891999,109498.77
120196782885257163651164953359063822616,59171.293
307587965035124177469706843302286678852,104108.52
147918433942232310306879997092064646229,82803.49
322862357217576382174561616320866894896,218796.73
239523402888574028389406143855331971634,299430.88
113509983214540261664688743850173663995,99816.37
109891169875096641331353504149265117244,206268.47
14047284765259674200352849951505593080,191190.94
185048785858081984334746723407963750558,165478.9
233408161489868303803711823496315975517,36301.047
271868823659695867806389462405507434039,145477.0
234266752075173490649523075655294035700,130676.32
135193714861901808768224625797727405125,72715.305
65383514239248595231552479759479421653,125857.4
763500554236946546082152173974002095,79039.22
263071556455718053803505933844459615897,103133.55
251187863725990533753089128740859478739,49816.902
254288424794027625207128200628830798586,262330.9
286319605986498380547161295324785273852,120545.555
18156444762146185587945140921021289232,145329.02
132399590521100913284690334248594447552,81425.945
103484450878268999171337512911053865440,315339.12
3912270241651523146374566983699340012,294396.38
289442719100949424990356122406061188257,76813.92
78107569099680024366542029001316825040,78384.38
35630579392702895703343792092821020757,119682.42
180495442974534219664033650975071179678,106708.65
310808003231123687601982759789167595573,82420.21
281412885789869246852489114984059535931,95325.11
115834922999693545296191213987693964898,94677.78
5731801982113473737231393645963779999,126164.07
256716164818036322373140286568690396129,158579.3
287091925155434474451326927701130603179,148971.47
34260218896401614964439670738816901101,88327.375
129711525134942617432200032446355408594,120400.414
63813447393601008165654825811986411111,68142.055
233957718806307342910872106898233148735,121471.516
138508589382193076883186189654019084427,127437.89
171762617476835661595108367117122969376,85401.88
7122736344425113322294078330615663312,63402.42
32931879047335602142815671990698948947,72442.8
230483121396274655509988841957998046697,117438.445
315766672381283490639653109260892751611,216338.62
301104161774368724925476221283740970391,75265.69
227510606246395701960366267332503216714,114667.06
228659121972304442863099815886729581779,121236.25
68086809059173658965599732460689150208,218106.88
169041392389609942283143480484429958744,88653.414
149581053128777628511664656027161538796,80214.19
66252420228989686258481184814476626799,215903.86
262859967351480229982146627310415934358,117099.516
317829998963593347122303395131613360494,94806.72
24887841704125448157191892411715521315,175831.95
230199425899098091542244974035896211783,125865.35
74011957647759301081569160773746930781,245063.77
144733803448319336946178686862337261379,100981.96
142405383752199423425786993458884627343,140232.5
173324636074769296529189625730653285809,87205.71
155561347177954121142041908188975524664,133278.06
86026435063413102427450773798842306387,123397.58
229257356284378921190587377871031567334,49878.895
249214025842220849314985638373204146912,81545.695
